Título,Precio,M2,Habitaciones,Baños,Parking,Link
Piso en Turó de la Peira - Can Peguera Barcelona,225.000 €,84,2,1,Sin plaza parking,
Piso  reformado para estrenar en Sagrada Família en Barcelona,450.000 €,80,3,2,Plaza parking ,
Piso en avinguda josep tarradellas piso alto cerca f.macià en Barcelona,430.000 €,101,3,2,,
Piso 98m en carrer manigua obra nueva en Congrés - Indians Barcelona,467.000 €,98,3,2,,
Piso en san miquel piso a 2 calles del mar en Barceloneta Barcelona,138.000 €,30,2,1,Sin plaza parking,
Piso  reformado en venta en passeig de sant joan en Barcelona,450.000 €,75,2,2,,
"Loft totalmente reformado, bonito en Camp d´en Grassot - Gràcia N. Barcelona",109.000 €,35,1,3.114,,
Piso en Turó de la Peira - Can Peguera Barcelona,167.500 €,64,3,1,Sin plaza parking,
Piso en carrer ali bei piso en eixample dreta con licencia turistica en Barcelona,795.000 €,75,2,2,,
Piso en La Bordeta Barcelona,185.000 €,70,3,1,Sin plaza parking,
Piso en carrer comte borrell magnífico piso con terraza en finca semi-nueva. en Barcelona,570.000 €,123,4,2,,
"Piso  conca tremp 65m2, 3hab en Carmel Barcelona",188.500 €,65,3,1,,
Piso  grande y muy luminoso en gràcia en Camp d´en Grassot - Gràcia N. Barcelona,955.000 €,186,3,2,,
Piso elegante piso reformado en eixample en Sant Antoni Barcelona,750.000 €,113,2,2,,
Piso  en venta en St. Pere - Sta. Caterina - El Born Barcelona,199.000 €,29,2,1,Sin plaza parking,
Piso en Verdun Barcelona,118.000 €,50,3,1,,
Piso con vistas despejadas en Besòs - Maresme Barcelona,140.000 €,62,3,1,,
Piso en Provençals del Poblenou Barcelona,410.000 €,70,2,1,Plaza parking ,
Piso  reformado ciutat vella en Gòtic Barcelona,320.000 €,77,3,1,Sin plaza parking,
Loft moderno loft reformado en el 22@ en Provençals del Poblenou Barcelona,210.000 €,62,1,3.387,Sin plaza parking,
Piso en Esquerra Alta de l´Eixample Barcelona,455.000 €,79,2,1,,
Piso junto plaza rovira con terraza en Camp d´en Grassot - Gràcia N. Barcelona,265.000 €,68,3,1,Sin plaza parking,
Dúplex 121m obra nueva en Sant Gervasi - Galvany Barcelona,1.130.000 €,121,2,2,,
Piso en Poble Sec Barcelona,195.000 €,54,2,1,Sin plaza parking,
"Piso primero con 2 habitaciones, calefacción, aire acondicionado y terraza en Barcelona",169.000 €,36,2,1,Sin plaza parking,
Ático 49m en carrer bernat bransi obra nueva en Carmel Barcelona,220.000 €,49,2,1,,
Loft piso en venta de 39 m2 en Sarrià Barcelona,245.000 €,39,1,1,Sin plaza parking,
Dúplex moderno dúplex exterior en sants en Badal Barcelona,379.000 €,94,3,2,,
Piso espectacular piso de 150 m2 en en el borne en Barcelona,1.380.000 €,150,3,3,,
Piso 138m obra nueva en Sant Gervasi - Galvany Barcelona,1.370.000 €,138,3,2,,
Piso vivienda a estrenar de 90m2 en el corazón del born en Barcelona,690.000 €,106,2,2,Sin plaza parking,
Apartamento obra nueva en El Clot en El Clot Barcelona,470.000 €,110,3,2,Plaza parking ,
Piso  totalmente reformado. en Camp d´en Grassot - Gràcia N. Barcelona,389.000 €,104,2,2,Sin plaza parking,
Piso  totalmente reformado. en Camp d´en Grassot - Gràcia N. Barcelona,389.000 €,104,2,2,Sin plaza parking,
"Piso  con 3 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",275.000 €,80,3,1,,
"Piso  con 2 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",1.275.000 €,148,2,2,,
Piso elegante propiedad en turó park en Sant Gervasi - Galvany Barcelona,2.300.000 €,380,6,5,,
"Piso  en venta en les corts, 3 dormitorios. en Barcelona",435.000 €,75,3,1,,
Piso  en venta en la Barceloneta en Barceloneta Barcelona,247.500 €,77,2,1,Sin plaza parking,
"Piso  a reformar en turó park, en venta en Sant Gervasi - Galvany Barcelona",1.690.000 €,285,5,3,,
"Piso  en venta en les corts, 3 dormitorios. en Barcelona",435.000 €,75,3,1,,
Piso en Taxonera Barcelona,233.500 €,80,3,1,,
Piso  reformado de 80 m² totalmente exterior con ascensor en Barcelona,235.000 €,81,4,2,Plaza parking ,
Piso elegante piso en finca regia en eixample dret en Barcelona,980.000 €,178,3,2,,
Piso p-439 en Raval Barcelona,340.000 €,68,2,2,Sin plaza parking,
Piso  alto y luminoso en Sant Antoni en Sant Antoni Barcelona,450.000 €,94,4,3,,
"Ático soleado ,alto,vistas y 2 terraza en Poble Sec Barcelona",245.000 €,70,2,1,Sin plaza parking,
Ático sobreático con amplias terrazas en galvany en Barcelona,790.000 €,139,4,2,Plaza parking ,
Apartamento en Raval Barcelona,291.000 €,80,4,2,Sin plaza parking,
Apartamento precioso piso muy luminoso en eixample esquerra en Barcelona,380.000 €,73,2,1,,
Piso excelente piso en gracia en Vila de Gràcia Barcelona,216.000 €,66,1,1,,
Apartamento en Trinitat Vella Barcelona,112.500 €,63,3,1,,
Piso 75m en avinguda diagonal obra nueva en Dreta de l´Eixample Barcelona,606.690 €,75,1,2,,
Piso en St. Pere - Sta. Caterina - El Born Barcelona,150.000 €,41,2,1,,
Casa  adosada en el barrio del putxet con parking en Barcelona,760.000 €,220,3,3,Plaza parking ,
Piso  a reformar cerca de l'avinguda gaudí en Barcelona,280.000 €,76,4,1,,
Piso  totalmente reformado en calle muntaner en Barcelona,510.000 €,82,3,2,,
Apartamento piso en venta de 65 m2 en Camp de l´Arpa Barcelona,191.000 €,65,3,1,Sin plaza parking,
Piso en passeig gracia passeig de gràcia en Dreta de l´Eixample Barcelona,1.345.000 €,146,3,2,,
Piso fabuloso piso zona sagrada fanmilia en Sagrada Família Barcelona,370.000 €,81,3,1,Sin plaza parking,
Piso en Sagrada Família Barcelona,295.000 €,75,4,1,,
Piso en Raval Barcelona,150.000 €,55,1,1,Sin plaza parking,
Piso acogedor y en perfecto estado en Sant Gervasi - Bonanova Barcelona,465.000 €,115,3,2,Sin plaza parking,
"Piso  con 3 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",735.000 €,126,3,2,,
Piso en Raval Barcelona,170.000 €,71,3,1,,
Piso  en venta calle carme en Raval Barcelona,358.000 €,100,5,1,Sin plaza parking,
Piso  Horta con terraza 23 m2 en Horta Barcelona,188.000 €,74,3,1,,
Piso  luminoso en villa de gracia en Vila de Gràcia Barcelona,345.000 €,70,3,1,,
Dúplex unico zoduplex diseño tipo casa en Sant Ramon - Maternitat Barcelona,325.000 €,130,3,2,Sin plaza parking,
Dúplex bonito dúplex en vall d'hebrón en Vall d´Hebron Barcelona,293.000 €,80,2,1,,
Piso  a 1 min via julia en Prosperitat Barcelona,160.000 €,66,3,1,Sin plaza parking,
Piso en Raval Barcelona,192.500 €,49,1,1,,
Piso en plaça juliana morell : vivienda de protección oficial en Barcelona,180.000 €,70,3,2,Plaza parking ,
Piso fantástica vivienda en turó parc en Sant Gervasi - Galvany Barcelona,1.690.000 €,288,6,3,Plaza parking ,
Piso  con balcón y ascensor en provençals en Raval Barcelona,420.000 €,109,2,1,,
Piso 77m obra nueva en Navas Barcelona,349.000 €,77,3,2,,
Casa adosada casa tradicional barcelonesa en La Salut Barcelona,720.000 €,158,5,2,,
"Casa  de 560 m² en venta en Sarrià, en Sarrià Barcelona",5.250.000 €,560,5,4,Plaza parking ,
Piso en El Coll Barcelona,192.500 €,67,3,1,,
Casa  con 3 habitaciones con calefacción y aire acondicionado en Barcelona,590.000 €,181,3,2,,
Piso  a estrenar en calle tortellà en Poblenou en Barcelona,330.000 €,62,2,1,,
Piso  reformado a estrenar en el barri gotic en Barcelona,245.000 €,66,2,2,,
Piso en Horta Barcelona,156.500 €,60,3,1,Sin plaza parking,
Piso en Hostafrancs Barcelona,315.500 €,76,3,1,Sin plaza parking,
Piso 3 habitaciones junto rbla. prim en Besòs - Maresme Barcelona,159.000 €,71,3,1,Sin plaza parking,
Piso en Carmel Barcelona,104.000 €,45,2,1,,
Apartamento en Sant Antoni Barcelona,390.000 €,102,3,1,,
Ático magnifico ático en el putget en Putget - Farró Barcelona,1.070.000 €,200,4,2,Sin plaza parking,
Ático  reformado en sarriá en Sarrià Barcelona,995.000 €,168,6,2,,
Apartamento espectacular vivienda en passeig de gràcia en Barcelona,2.050.000 €,220,4,4,,
Piso  rosario en Tres Torres Barcelona,1.790.000 €,250,5,2,Plaza parking ,
Piso en Dreta de l´Eixample Barcelona,545.000 €,100,3,2,Sin plaza parking,
"Piso  en venta en eixample dret, en Dreta de l´Eixample Barcelona",695.000 €,91,2,2,,
Piso  en venta en Pedralbes 137 m2 + 2 plazas parking + trastero. jardín comunitario en Barcelona,718.500 €,137,4,2,Plaza parking ,
Piso en Esquerra Alta de l´Eixample Barcelona,560.000 €,168,5,3,,
Piso vivienda confortable la maternitat/les corts en Barcelona,289.000 €,80,3,2,,
Piso elegante piso en jardinets de gràcia en Vila de Gràcia Barcelona,1.675.000 €,194,6,2,,
Piso en carrer radas acogedor atico con licencia turistica en Barcelona,348.000 €,58,2,2,,
Piso  en venta con jardín privado en Sant Gervasi - Galvany Barcelona,2.350.000 €,280,4,4,,
Piso en Trinitat Vella Barcelona,108.000 €,62,3,1,Sin plaza parking,
Piso  reformado de diseño junto passeig de gràcia en Barcelona,480.000 €,60,1,1,,
Piso  familiar alto en Les Corts con parking en Barcelona,555.000 €,113,3,2,Plaza parking ,
Piso excelente dúplex nuevo a estrenar en Putget - Farró Barcelona,940.000 €,174,4,2,Plaza parking ,
Piso  señorial reformado en vallcarca en Vallcarca - Penitents Barcelona,825.000 €,163,4,2,,
Piso  en avinguda de gaudí en Sagrada Família Barcelona,395.000 €,86,3,1,,
"Piso  con 6 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",1.220.000 €,230,6,2,,
Piso en carrer gelida piso c/gelida la verneda en Barcelona,217.100 €,47,1,1,Sin plaza parking,
Piso  con 3 habitaciones con calefacción y aire acondicionado en Barcelona,226.000 €,104,3,2,,
Piso  en venta en calle andrade en Sant Martí Barcelona,244.000 €,90,2,1,,
Piso en La Verneda - La Pau Barcelona,215.000 €,80,3,1,,
Piso  con 3 habitaciones en Taxonera Barcelona,160.900 €,71,3,1,,
Loft increíble loft en la zona del Carmel en Carmel Barcelona,149.000 €,135,1,1,,
Piso apartamento reformado de 2 dormitorios con terraza en un proyecto de vida ecológica en el Raval en Barcelona,317.000 €,62,2,1,Sin plaza parking,
"Piso  con 2 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",455.000 €,76,2,1,,
Piso exclusivo dúplex en av. tibidabo en Sant Gervasi - Bonanova Barcelona,1.100.000 €,234,3,3,Plaza parking ,
Piso en carrer de pau claris 155 fantástico piso en pau claris 155 en Barcelona,1.450.000 €,215,3,5,,
Piso  con terraza en Sagrada Família en Sagrada Família Barcelona,575.000 €,118,2,2,,
"Piso propiedad en venta con alta rentabilidad en el Raval, ideal para inversores en Barcelona",440.000 €,81,2,2,,
Piso finca clásica en Dreta de l´Eixample Barcelona,978.000 €,241,8,2,Sin plaza parking,
Piso elegante piso en la dreta de l'eixample en Dreta de l´Eixample Barcelona,860.000 €,172,5,2,,
Piso  en venta en el centro en Gòtic Barcelona,375.000 €,70,2,1,,
Piso en Esquerra Alta de l´Eixample Barcelona,715.000 €,156,5,2,,
Piso excelente localización en Dreta de l´Eixample Barcelona,368.000 €,82,3,1,Sin plaza parking,
Piso con dos terrazas en Barceloneta Barcelona,265.000 €,75,3,1,Sin plaza parking,
Piso en Prosperitat Barcelona,104.000 €,47,2,1,Sin plaza parking,
Estudio sant pere mes alt / via laietana en St. Pere - Sta. Caterina - El Born Barcelona,235.000 €,73,3,2,Sin plaza parking,
"Piso último piso, terraza comunitaria en Roquetes Barcelona",145.000 €,60,3,1,Sin plaza parking,
Piso muy centrico y exterior en Raval Barcelona,400.000 €,75,3,2,Sin plaza parking,
Piso en avinguda del paral.lel piso reformado zona Sant Antoni en Barcelona,225.000 €,65,3,1,,
Piso  en venta en el besòs-el maresme en Sant Martí Barcelona,189.000 €,86,3,1,Sin plaza parking,
Ático obra nueva en Guinardó en Guinardó Barcelona,450.000 €,108,3,2,,
"Piso  venta sants montjuic - poble-sec, 360000€ en Barcelona",360.000 €,85,3,1,Sin plaza parking,
Piso  en venta en Poble Sec en Poble Sec Barcelona,275.000 €,65,2,1,Sin plaza parking,
Piso vivienda en la zona Sant Martí en Sant Martí Barcelona,210.000 €,73,3,1,,
Piso en Raval Barcelona,286.000 €,70,2,1,Sin plaza parking,
Piso con gran posibilidad de reforma en Sant Gervasi - Galvany Barcelona,270.000 €,60,2,1,Sin plaza parking,
Piso en Poblenou Barcelona,295.200 €,70,3,1,Sin plaza parking,
Piso bonito piso de 85 m2 en les corts en Esquerra Alta de l´Eixample Barcelona,620.000 €,85,2,1,Sin plaza parking,
Piso en Dreta de l´Eixample Barcelona,650.000 €,96,3,1,Sin plaza parking,
Piso  con 3 habitaciones con ascensor y aire acondicionado en Barcelona,189.000 €,68,3,1,,
Piso en Sant Gervasi - Galvany Barcelona,750.000 €,163,4,2,,
Piso magnífico piso en finca regia en sant gervasi galvany en Barcelona,1.090.000 €,200,6,4,,
Piso  con 4 habitaciones con calefacción en Esquerra Baixa de l´Eixample Barcelona,595.000 €,140,4,2,,
Loft excluivo loft en les corts/maternitat en Sant Ramon - Maternitat Barcelona,700.000 €,128,2,2,,
Casa en passeig font de la mulassa casa independent al pg. de la font de la mulassa en Barcelona,625.000 €,220,4,3,Plaza parking ,
Piso  alto y luminoso con garaje en Pedralbes Barcelona,930.000 €,161,4,3,Plaza parking ,
Piso en Prosperitat Barcelona,122.000 €,47,2,1,Sin plaza parking,
Ático en carrer ample atico con terraza en carre ample en Barcelona,220.000 €,71,2,2,,
Piso en Sants Barcelona,373.000 €,82,3,2,Sin plaza parking,
Piso ubicación inmejorable en Vila de Gràcia Barcelona,5.700.000 €,693,25,4,Plaza parking ,
Piso ubicación inmejorable en Vila de Gràcia Barcelona,2.750.000 €,335,13,2,Plaza parking ,
"Piso  en venta en ciutat vella, 3 dormitorios. en Barcelona",1.200.000 €,165,3,3,,
Piso  con 4 habitaciones con ascensor en Horta Barcelona,200.000 €,182,4,2,,
Piso único piso reformado en passatge permanyer en Barcelona,820.000 €,128,4,4,,
Piso maravilloso piso con ascensor en centro histórico en Barcelona,209.000 €,49,1,1,,
"Piso  para reformar en comte d'urgell, esquerra del eixample en Barcelona",275.000 €,54,3,1,,
Piso oportunidad por cuota en Trinitat Nova Barcelona,98.000 €,51,2,1,Sin plaza parking,
Piso  en venta a reformar junto a plaça kennedy en Barcelona,399.000 €,97,4,2,,
Piso excepcional propiedad en gran de gràcia en Vila de Gràcia Barcelona,795.000 €,155,5,2,,
Piso gran oportunidad en Sant Martí Barcelona,275.000 €,65,2,1,Sin plaza parking,
Apartamento piso con encanto de 90m² en el casco antiguo en Barcelona,350.000 €,90,2,1,Sin plaza parking,
Piso finca totalmente rehabilitada en el año 2005 con ascensor. en Barcelona,195.000 €,52,1,1,Sin plaza parking,
Piso fantástico piso de 3 habitaciones en el putxet i el farró (bn1-555) en Barcelona,360.000 €,75,3,1,,
Piso  venta calle josep sangenís en Taxonera Barcelona,275.000 €,68,2,1,Sin plaza parking,
Piso luminoso apartamento reformado en zona prime en Barcelona,675.000 €,127,3,2,Plaza parking ,
"Apartamento piso de 92m² en venta en eixample derecho, en Barcelona",615.000 €,92,3,2,Sin plaza parking,
Piso en La Marina-Montjuïc Barcelona,225.500 €,56,3,1,Sin plaza parking,
Piso  de dos habitaciones en venta en gràcia nova en Barcelona,259.000 €,55,2,1,,
Piso en gran via de les corts catalanes 1132 gran via provençals en Barcelona,165.000 €,73,3,1,,
Piso exclusivo piso con encanto en eixample esquerra en Barcelona,465.000 €,75,2,2,,
Piso acogedor piso en Poble Sec en Poble Sec Barcelona,330.000 €,75,2,1,,
Piso  en finca regia en galvany en Sant Gervasi - Galvany Barcelona,590.000 €,114,4,1,,
Piso  de 1 hab en nou barris en Turó de la Peira - Can Peguera Barcelona,80.000 €,35,1,1,,
Piso a la venta piso z. monumental en Fort Pienc Barcelona,230.000 €,50,3,1,,
Piso  muy luminoso en la rambla del Raval en Raval Barcelona,279.000 €,80,3,1,,
Piso  3 hab calle canalejas en Badal Barcelona,194.000 €,67,3,1,Sin plaza parking,
Piso en Porta Barcelona,213.500 €,73,3,1,,
Piso oportunidad piso Poble Sec en Poble Sec Barcelona,152.000 €,68,3,1,Sin plaza parking,
Casa  en el corazón de les Tres Torres en Tres Torres Barcelona,2.750.000 €,265,3,3,Plaza parking ,
Piso en baixada de pedregar de particular a particular. para entrar a vivir en Barcelona,108.000 €,43,2,1,,
Piso  en venta en l'eixample en Fort Pienc Barcelona,475.000 €,100,4,1,,
Piso en Roquetes Barcelona,99.000 €,40,2,1,Sin plaza parking,
Piso precioso piso de diseño en venta en el Gòtic en Barcelona,550.000 €,133,2,2,,
Piso  con terraza y dos habitaciones en el born en Barcelona,345.000 €,79,2,1,,
"Loft  dúplex de 56m2 frente al parque de monterols, zona galvany. en Barcelona",180.000 €,60,1,3.000,Sin plaza parking,
Piso 61m obra nueva en Navas Barcelona,349.000 €,61,1,1,,
Piso para entrar a vivir!!! c/muebles en Can Baró Barcelona,169.000 €,44,2,1,Sin plaza parking,
Piso fd661 en El Coll Barcelona,250.000 €,70,3,1,Sin plaza parking,
Casa adosada preciosa casa adosada reformada en pleno sarria en Barcelona,795.000 €,125,3,3,,
Piso en Vilapicina - Torre Llobeta Barcelona,159.900 €,50,2,1,,
Piso excepcional piso totalmente reformado en las ramblas en Barcelona,590.000 €,72,2,2,Sin plaza parking,
Apartamento atico paralel en Poble Sec Barcelona,240.000 €,31,7.742,,Sin plaza parking,
Apartamento piso acogedor en finca regia en Dreta de l´Eixample Barcelona,250.000 €,47,1,1,,
Piso en carrer de garcía mariño piso de diseño de doble plantas en Barcelona,420.000 €,135,2,1,Sin plaza parking,
Piso  125m de 4 hab terraza y galeria luminoso en Barcelona,570.000 €,141,4,2,Sin plaza parking,
"Piso  con 2 habitaciones, ascensor, piscina comunitaria, calefacción, aire acondicionado y terraza en Barcelona",324.720 €,75,2,2,Sin plaza parking,
